ID,Final_Score,Overall(featured)_Score,TF-IDF_Score,Education_Level,Technical_Score,Managerial_Score,Spell_Check_Ratio,Section_Score,Brevity_Score,Years_of_Experience,Skill_Count,Extracted_Skills
36,0.44146175238081686,0.5532555309734514,0.1806096023313363,Postgraduate,0.49000000000000005,0.42625,0.8938053097345133,0.9,0.5,1,18,"['Deep Learning', 'Git', 'Machine Learning', 'Neural Networks', 'TensorFlow', 'ANN', 'CNN', 'DNN', 'Education B.Tech & M.Tech(Integrated', 'Image', 'Keras', 'Linear Regression', 'Logistic Regression', 'Neural Networks', 'RNN', 'SDE', 'Sighania University', 'Skills Data Structures']"
29,0.41037774333665455,0.4928289473684211,0.217991600595866,Bachelor,0.6100000000000001,0.057499999999999996,0.9157894736842105,0.9,0.5,1,11,"['Data Science', 'Deep Learning', 'Machine Learning', 'Python', 'SQL', 'TensorFlow', 'CIT', 'Calicut', 'Eli Scott F R E S H E R Executive Profile', 'Keras', 'Skills Python']"
33,0.40475574108942747,0.49125216049382725,0.2029307624791614,Bachelor,0.6100000000000001,0.04475,0.9382716049382716,0.9,0.5,1,20,"['Deep Learning', 'Machine Learning', 'NLP', 'PyTorch', 'Python', 'Transformers', 'BACKGROUND General Electric', 'GE', 'Healthcare Data Scientist, Feb', 'IBM Watson', 'JU University', 'Kottam', 'Machine', 'Machine Learning', 'NLP', 'NLTK', 'OCR', 'Pytorch', 'RNN', 'Tata Metaliks Ltd.']"
17,0.3963253755579441,0.4540394660894661,0.26165916431772634,Bachelor,0.5800000000000001,-0.014961038961038958,0.9652777777777778,0.8,0.5,0,18,"['C++', 'Flask', 'Git', 'Machine Learning', 'Neural Networks', 'PyTorch', 'Python', 'AWS', 'CNN', 'Data Analytics', 'Git, Python', 'Image Processing', 'MUMBAI', 'NASIK JUNIOR MACHINE LEARNING ENGINEER', 'Neural Networks', 'PROFILE', 'PROJECTS Music', 'accuracyJONATHAN HILL SKILLS Data']"
19,0.38255598694388365,0.4361646909827761,0.2574690108531346,Bachelor,0.5800000000000001,0.05407142857142856,0.8794326241134752,0.5,0.5,0,26,"['BERT', 'Deep Learning', 'Machine Learning', 'TensorFlow', 'communication', 'Algorithm Optimization', 'BACKGROUND Larsen & Toubro Machine Learning Engineer', 'BERT', 'Chennai', 'Computer Vision', 'Data Wrangling', 'Hadoop', 'HuggingFace', 'ML Engineer', 'Machine Learning', 'Material Test Report', 'OCR', 'OnDevice Machine Learning', 'Optimization', 'PROFILE', 'SME', 'SOFTWARE', 'Scikit Learn', 'Software Engineering', 'Tensoflow', 'Tensorflow']"
31,0.3786129897859355,0.46134722222222224,0.18556644743459985,Bachelor,0.5800000000000001,0.04041666666666667,0.9722222222222222,0.7,0.5,0,10,"['Machine Learning', 'Python', 'KIMBERLY DAVIS SKILLS Data Analytics', 'NLTK', 'Natural Language Processing', 'PROFILE', 'PROJECTS Price Forecasting', 'Production Analytics', 'SMV INSTITUTE OF TECHNOLOGY', 'Time Series Analysis']"
5,0.37551796034914875,0.4341586538461539,0.2386896755228036,Bachelor,0.6100000000000001,0.029375,0.9134615384615384,0.4,0.5,1,13,"['Deep Learning', 'Machine Learning', 'Python', 'ARMIN FITZGERALD DA T A M A N A G E R PROFESSIONAL PROFILE Expertise', 'AWS', 'Agricultural Produce', 'Cloud-', 'College of Engineering', 'Data Gathering, Machine Learning', 'Data Mining, Python', 'EMPLOYMENT HISTORY Data Sampling', 'Mathematical Modelling', 'the produceBPM Foundation']"
4,0.3657724169340264,0.4690444444444445,0.12480435274305086,Bachelor,0.56,0.10199999999999998,0.9444444444444444,0.7,0.5,2,8,"['Machine Learning', 'project management', 'software development', 'Business Growth', 'Data Analytics', 'Institute of TechnologyEXECUTIVE SUMMARY Data Engineer', 'Project Management', 'Software Development']"
28,0.36213566141965375,0.43583915537017726,0.19016084220176566,Bachelor,0.5800000000000001,-0.00107142857142857,0.9416058394160584,0.6,0.5,0,19,"['Deep Learning', 'Docker', 'Java', 'JavaScript', 'Machine Learning', 'Neural Networks', 'Python', 'TensorFlow', 'web development', 'ASI Technologies Intern', 'B.Tech', 'BMI', 'CSS', 'Front End', 'HTML', 'JavaScript', 'Machine Learning Application', 'Neural Networks', 'SGGS College of Engineering and Technology']"
18,0.36069604431204827,0.4399044585987262,0.17587641097646664,Bachelor,0.6100000000000001,0.03666666666666667,0.9490445859872612,0.4,0.5,1,20,"['Deep Learning', 'Java', 'Machine Learning', 'Neural Networks', 'Python', 'TensorFlow', 'programming', 'Capstone', 'Java, ReactJS', 'KTM College', 'Machine', 'Machine Learning', 'Neural', 'Neural Networks', 'Pandas', 'Pune', 'SPP University', 'Scikit Learn', 'Seaborn', 'TensorFlow']"
